region,christian,muslim,country,geoname_id,precision_code,place_name,latitude,longitude,location_type_code,geoname_adm_code,geoname_adm_name,location_class,geographic_exactness
Tunis,0,1,35,2464465,3,DÃ©lÃ©gation de la MÃ©dina,36.796989,10.16946,ADM2,6295630|6255146|TN|36|2464465,Earth|Africa|Tunisia|Gouvernorat de Tunis|DÃ©lÃ©gation de la MÃ©dina,1,1
Ariana,0,1,35,11109020,3,Ariana Ville,36.865421,10.16846,ADM2,6295630|6255146|TN|38|11109020,Earth|Africa|Tunisia|Gouvernorat de lâAriana|Ariana Ville,1,1
Ben Arous,0,1,35,11109018,3,DÃ©lÃ©gation de MÃ©grine,36.77314,10.23005,ADM2,6295630|6255146|TN|27|11109018,Earth|Africa|Tunisia|Gouvernorat de Ben Arous|DÃ©lÃ©gation de MÃ©grine,1,1
Manouba,0,1,35,11256911,2,Menzel Habib,36.674011,9.8575802,PPLL,6295630|6255146|TN|38|11256911,Earth|Africa|Tunisia|Gouvernorat de lâAriana|Menzel Habib,2,1
Nabeul,0,1,35,2467898,1,Grombalia,36.598942,10.50032,PPL,6295630|6255146|TN|19|2467898,Earth|Africa|Tunisia|Gouvernorat de Nabeul|Grombalia,2,1
Zaghouan,0,1,35,11108354,3,Saouaf,36.207932,10.1413,ADM2,6295630|6255146|TN|37|11108354,Earth|Africa|Tunisia|Gouvernorat de Zaghouan|Saouaf,1,1
Bizerte,0,1,35,11108361,3,Ghar El Melh,37.17091,10.10401,ADM2,6295630|6255146|TN|18|11108361,Earth|Africa|Tunisia|Gouvernorat de Bizerte|Ghar El Melh,1,1
Beja,0,1,35,7870605,3,Beja Sud,36.642551,9.2085199,ADM2,6295630|6255146|TN|17|7870605,Earth|Africa|Tunisia|Gouvernorat de BÃ©ja|Beja Sud,1,1
Jendouba,0,1,35,2470085,4,Gouvernorat de Jendouba,36.666672,8.75,ADM1,6295630|6255146|TN|06,Earth|Africa|Tunisia|Gouvernorat de Jendouba,1,1
Le Kef,0,1,35,7870612,3,Kef Quest,36.149071,8.65903,ADM2,6295630|6255146|TN|14|7870612,Earth|Africa|Tunisia|Gouvernorat de Kef|Kef Quest,1,1
Siliana,0,1,35,7870035,1,Rouhia,35.697781,9.1456099,PPL,6295630|6255146|TN|22|7870035,Earth|Africa|Tunisia|Gouvernorat de Siliana|Rouhia,2,1
Sousse,0,1,35,11104944,3,Sousse Sidi Abdelhamid,35.805328,10.6407,ADM2,6295630|6255146|TN|23|11104944,Earth|Africa|Tunisia|Gouvernorat de Sousse|Sousse Sidi Abdelhamid,1,1
Monastir,0,1,35,2466294,1,Sidi Ameur,35.75,10.7,PPL,6295630|6255146|TN|16|2466294,Earth|Africa|Tunisia|Gouvernorat de Monastir|Sidi Ameur,2,1
